	Kingdom	Phylum	Class	Order	Family	Genus	
OTU_179	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Unassign	Unassign	
OTU_180	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	
OTU_181	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Catenulisporaceae	Catenulispora	
OTU_182	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Unassign	Unassign	
OTU_183	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Unassign	
OTU_184	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	
OTU_185	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella	
OTU_186	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Turicella	
OTU_187	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriales	Corynebacteriales	
OTU_188	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriales_Incertae_Sedis	Tomitella	
OTU_189	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	
OTU_190	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Unassign	
OTU_191	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
OTU_192	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Unassign	
OTU_193	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	
OTU_194	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	
OTU_195	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
OTU_196	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Smaragdicoccus	
OTU_197	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Williamsia	
OTU_198	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	
OTU_199	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Tsukamurellaceae	Tsukamurella	
OTU_200	Bacteria	Actinobacteriota	Actinobacteria	Elev-16S-976	Elev-16S-976	Elev-16S-976	
OTU_201	Bacteria	Actinobacteriota	Actinobacteria	Euzebyales	Euzebyaceae	Unassign	
OTU_202	Bacteria	Actinobacteriota	Actinobacteria	Euzebyales	Euzebyaceae	Euzebya	
OTU_203	Bacteria	Actinobacteriota	Actinobacteria	Euzebyales	Euzebyaceae	Unassign	
OTU_204	Bacteria	Actinobacteriota	Actinobacteria	FFCH16263	FFCH16263	FFCH16263	
OTU_205	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Unassign	Unassign	
OTU_206	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	
OTU_207	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Cryptosporangiaceae	Cryptosporangium	
OTU_208	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Cryptosporangiaceae	Fodinicola	
OTU_209	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Unassign	
OTU_210	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	
OTU_211	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
OTU_212	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiales	Frankiales	
OTU_213	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Unassign	
OTU_214	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
OTU_215	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	
OTU_216	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia	
OTU_217	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	
OTU_218	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	
OTU_219	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Unassign	
OTU_220	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Candidatus_Planktophila	
OTU_221	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	
OTU_222	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Sporichthya	
OTU_223	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Sporichthyaceae	
OTU_224	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade	
OTU_225	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Unassign	
OTU_226	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Unassign	Unassign	
OTU_227	Bacteria	Actinobacteriota	Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces	
OTU_228	Bacteria	Actinobacteriota	Actinobacteria	Glycomycetales	Glycomycetaceae	Unassign	
OTU_229	Bacteria	Actinobacteriota	Actinobacteria	KIST-JJY010	KIST-JJY010	KIST-JJY010	
OTU_230	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Unassign	
OTU_231	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Angustibacter	
OTU_232	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	
OTU_233	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	
OTU_234	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	
OTU_235	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Unassign	
OTU_236	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Unassign	Unassign	
OTU_237	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	
OTU_238	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	
OTU_239	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Unassign	
OTU_240	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Actinotalea	
OTU_241	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	
OTU_242	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Oerskovia	
OTU_243	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Pseudactinotalea	
OTU_244	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Unassign	
OTU_245	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Demequina	
OTU_246	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	
